sample_id,center_id,batch
TCGA-FD-A5C1,FD,12
TCGA-E7-A97Q,E7,11
TCGA-KQ-A41S,KQ,23
TCGA-KQ-A41P,KQ,23
TCGA-FD-A62N,FD,12
TCGA-XF-A8HG,XF,29
TCGA-UY-A9PD,UY,28
TCGA-5N-A9KM,5N,3
TCGA-FD-A5BX,FD,12
TCGA-BT-A2LB,BT,5
TCGA-XF-AAML,XF,29
TCGA-DK-A3X1,DK,9
TCGA-DK-A1AE,DK,9
TCGA-FD-A3SO,FD,12
TCGA-FJ-A3ZF,FJ,13
TCGA-XF-AAMG,XF,29
TCGA-G2-A2EC,G2,15
TCGA-G2-A2EL,G2,15
TCGA-GC-A3RB,GC,16
TCGA-FD-A3SS,FD,12
TCGA-FJ-A871,FJ,13
TCGA-K4-A5RJ,K4,22
TCGA-GV-A3QG,GV,19
TCGA-FD-A43U,FD,12
TCGA-GC-A3OO,GC,16
TCGA-FD-A3SM,FD,12
TCGA-ZF-A9R4,ZF,32
TCGA-YC-A89H,YC,30
TCGA-CF-A3MI,CF,7
TCGA-CF-A5U8,CF,7
TCGA-XF-AAMH,XF,29
TCGA-E7-A7DU,E7,11
TCGA-DK-A1AD,DK,9
TCGA-DK-A1AB,DK,9
TCGA-DK-AA6W,DK,9
TCGA-CF-A47T,CF,7
TCGA-BT-A20U,BT,5
TCGA-FD-A3B5,FD,12
TCGA-E7-A7XN,E7,11
TCGA-FD-A5BV,FD,12
TCGA-XF-AAMJ,XF,29
TCGA-XF-AAN7,XF,29
TCGA-ZF-A9RD,ZF,32
TCGA-CU-A3YL,CU,8
TCGA-CF-A47S,CF,7
TCGA-FD-A43S,FD,12
TCGA-K4-A6MB,K4,22
TCGA-2F-A9KP,2F,1
TCGA-LC-A66R,LC,9
TCGA-CF-A9FM,CF,7
TCGA-XF-AAN4,XF,29
TCGA-LT-A8JT,LT,24
TCGA-XF-A8HD,XF,29
TCGA-DK-A3WY,DK,9
TCGA-GV-A3JZ,GV,19
TCGA-DK-AA6L,DK,9
TCGA-XF-A9T8,XF,29
TCGA-E7-A5KF,E7,11
TCGA-PQ-A6FN,PQ,25
TCGA-ZF-A9R0,ZF,32
TCGA-CU-A72E,CU,8
TCGA-GV-A6ZA,GV,19
TCGA-FD-A6TH,FD,12
TCGA-FD-A3SR,FD,12
TCGA-CF-A3MH,CF,7
TCGA-4Z-AA86,4Z,2
TCGA-GU-AATO,GU,18
TCGA-GV-A3QF,GV,19
TCGA-BT-A42E,BT,5
TCGA-XF-AAN3,XF,29
TCGA-E7-A6MF,E7,11
TCGA-DK-A3WX,DK,9
TCGA-GU-A767,GU,18
TCGA-XF-AAMT,XF,29
TCGA-XF-A9SH,XF,29
TCGA-GD-A3OS,GD,17
TCGA-XF-A8HE,XF,29
TCGA-FD-A43X,FD,12
TCGA-GU-A763,GU,18
TCGA-FD-A43N,FD,12
TCGA-BT-A3PJ,BT,5
TCGA-CF-A9FL,CF,7
TCGA-DK-A3X2,DK,9
TCGA-DK-A2I4,DK,9
TCGA-DK-A6AW,DK,9
TCGA-DK-A1A5,DK,9
TCGA-4Z-AA7M,4Z,2
TCGA-BL-A13J,BL,4
TCGA-FD-A5BY,FD,12
TCGA-K4-A5RH,K4,22
TCGA-BT-A20O,BT,5
TCGA-XF-A9SP,XF,29
TCGA-XF-A9T6,XF,29
TCGA-KQ-A41Q,KQ,23
TCGA-GD-A3OQ,GD,17
TCGA-XF-AAMQ,XF,29
TCGA-CU-A0YR,CU,8
TCGA-G2-A3IE,G2,15
TCGA-FD-A6TD,FD,12
TCGA-DK-A3IT,DK,9
TCGA-K4-A5RI,K4,22
TCGA-ZF-A9RF,ZF,32
TCGA-XF-A9SM,XF,29
TCGA-BT-A20N,BT,5
TCGA-FD-A5BT,FD,12
TCGA-5N-A9KI,5N,3
TCGA-GV-A40E,GV,19
