sample_id,center_id,batch
TCGA-A8-A0A7,A8,5
TCGA-E2-A15C,E2,14
TCGA-AR-A0TZ,AR,9
TCGA-LL-A6FR,LL,18
TCGA-A8-A09G,A8,5
TCGA-BH-A0BT,BH,11
TCGA-B6-A0X5,B6,10
TCGA-C8-A27B,C8,12
TCGA-GM-A2D9,GM,17
TCGA-AR-A2LE,AR,9
TCGA-EW-A1P1,EW,16
TCGA-BH-A0B5,BH,11
TCGA-BH-A0H9,BH,11
TCGA-AO-A03T,AO,8
TCGA-E2-A1L9,E2,14
TCGA-B6-A0WX,B6,10
TCGA-C8-A12P,C8,12
TCGA-BH-A42V,BH,11
TCGA-B6-A0RH,B6,10
TCGA-C8-A12Q,C8,12
TCGA-E9-A22D,E9,15
TCGA-OL-A5RZ,OL,19
TCGA-D8-A73W,D8,13
TCGA-AR-A24S,AR,9
TCGA-B6-A0IE,B6,10
TCGA-A2-A04R,A2,3
TCGA-D8-A27T,D8,13
TCGA-E9-A22H,E9,15
TCGA-A7-A6VW,A7,4
TCGA-A2-A0EM,A2,3
TCGA-AR-A1AI,AR,9
TCGA-D8-A1JN,D8,13
TCGA-A1-A0SK,A1,2
TCGA-LL-A5YM,LL,18
TCGA-BH-A18I,BH,11
TCGA-A2-A0CL,A2,3
TCGA-A8-A09D,A8,5
TCGA-E2-A1LL,E2,14
TCGA-A2-A25B,A2,3
TCGA-AO-A0J9,AO,8
TCGA-A8-A08X,A8,5
TCGA-B6-A0WW,B6,10
TCGA-PE-A5DC,PE,10
TCGA-AR-A5QQ,AR,9
TCGA-D8-A1JH,D8,13
TCGA-BH-A18M,BH,11
TCGA-A2-A0ES,A2,3
TCGA-B6-A0IB,B6,10
TCGA-E9-A1NF,E9,15
TCGA-C8-A12O,C8,12
TCGA-EW-A1OZ,EW,16
TCGA-BH-A8FY,BH,11
TCGA-E2-A1LK,E2,14
TCGA-A7-A425,A7,4
TCGA-E2-A1IE,E2,14
TCGA-BH-A1FH,BH,11
TCGA-B6-A1KF,B6,10
TCGA-A8-A092,A8,5
TCGA-A8-A099,A8,5
TCGA-E2-A1LA,E2,14
TCGA-A7-A0CJ,A7,4
TCGA-AR-A0U2,AR,9
TCGA-B6-A2IU,B6,10
TCGA-A2-A0EX,A2,3
TCGA-D8-A1XC,D8,13
TCGA-BH-A0WA,BH,11
TCGA-AR-A24N,AR,9
TCGA-3C-AALK,3C,1
TCGA-E9-A1R4,E9,15
TCGA-E2-A156,E2,14
TCGA-A7-A2KD,A7,4
TCGA-GM-A2DA,GM,17
TCGA-BH-A1EY,BH,11
TCGA-A8-A08G,A8,5
TCGA-B6-A0RP,B6,10
TCGA-A2-A0EW,A2,3
TCGA-EW-A1P8,EW,16
TCGA-GM-A3NW,GM,17
TCGA-AC-A2B8,AC,6
TCGA-E2-A10A,E2,14
TCGA-PL-A8LX,PL,10
TCGA-BH-A0EE,BH,11
TCGA-OL-A6VQ,OL,19
TCGA-A8-A081,A8,5
TCGA-E2-A1AZ,E2,14
TCGA-E9-A1N5,E9,15
TCGA-LL-A740,LL,18
TCGA-B6-A0I6,B6,10
TCGA-BH-A0B9,BH,11
TCGA-D8-A146,D8,13
TCGA-AO-A0JA,AO,8
TCGA-D8-A1Y0,D8,13
TCGA-AR-A256,AR,9
TCGA-C8-A1HE,C8,12
TCGA-B6-A0WZ,B6,10
TCGA-OL-A66O,OL,19
TCGA-A1-A0SO,A1,2
TCGA-EW-A1P7,EW,16
TCGA-E2-A1L7,E2,14
TCGA-A8-A06Z,A8,5
TCGA-E2-A15O,E2,14
TCGA-A2-A1FW,A2,3
TCGA-A8-A08O,A8,5
TCGA-A7-A0CG,A7,4
TCGA-AR-A5QM,AR,9
TCGA-B6-A0IH,B6,10
TCGA-AN-A0XP,AN,7
TCGA-A2-A3XU,A2,3
TCGA-WT-AB44,WT,10
TCGA-A2-A4S1,A2,3
TCGA-A2-A0YF,A2,3
TCGA-B6-A0IK,B6,10
TCGA-A8-A08S,A8,5
TCGA-A2-A0CS,A2,3
TCGA-AC-A8OP,AC,6
TCGA-BH-A0DS,BH,11
TCGA-AC-A62V,AC,6
TCGA-E9-A54Y,E9,15
TCGA-B6-A0X4,B6,10
TCGA-A2-A04P,A2,3
TCGA-3C-AAAU,3C,1
TCGA-C8-A137,C8,12
TCGA-BH-A0C3,BH,11
TCGA-AC-A2FO,AC,6
TCGA-BH-A202,BH,11
TCGA-AO-A0JC,AO,8
TCGA-B6-A0I1,B6,10
TCGA-D8-A1JS,D8,13
TCGA-LL-A73Z,LL,18
TCGA-D8-A27P,D8,13
TCGA-C8-A27A,C8,12
TCGA-D8-A1Y3,D8,13
TCGA-AR-A1AR,AR,9
TCGA-OL-A5RW,OL,19
TCGA-E2-A14R,E2,14
TCGA-AO-A1KP,AO,8
TCGA-AO-A128,AO,8
TCGA-EW-A1PG,EW,16
TCGA-E2-A152,E2,14
TCGA-A1-A0SN,A1,2
TCGA-E9-A1N3,E9,15
TCGA-A7-A26H,A7,4
TCGA-A2-A25E,A2,3
TCGA-E9-A244,E9,15
TCGA-OL-A97C,OL,19
TCGA-D8-A27L,D8,13
TCGA-E2-A14Z,E2,14
TCGA-A2-A0CK,A2,3
TCGA-C8-A3M7,C8,12
TCGA-A7-A13E,A7,4
TCGA-C8-A26Z,C8,12
TCGA-D8-A1J9,D8,13
TCGA-D8-A27I,D8,13
TCGA-E2-A56Z,E2,14
TCGA-AN-A0FY,AN,7
TCGA-OL-A6VO,OL,19
TCGA-A8-A09B,A8,5
TCGA-C8-A3M8,C8,12
TCGA-AC-A2FK,AC,6
TCGA-AR-A1AK,AR,9
TCGA-E9-A2JS,E9,15
TCGA-BH-A0DP,BH,11
TCGA-AC-A3YJ,AC,6
