sample_id,center_id,batch
TCGA-DD-A4NO,DD,8
TCGA-DD-A1EH,DD,8
TCGA-DD-AAVS,DD,8
TCGA-RC-A7SK,RC,22
TCGA-K7-A5RF,K7,16
TCGA-ZP-A9CV,ZP,27
TCGA-DD-AAEK,DD,8
TCGA-2Y-A9GS,2Y,1
TCGA-DD-A11B,DD,8
TCGA-G3-A5SM,G3,13
TCGA-ZP-A9D4,ZP,27
TCGA-DD-AAD8,DD,8
TCGA-DD-AAW3,DD,8
TCGA-DD-A1ED,DD,8
TCGA-ED-A459,ED,9
TCGA-2Y-A9H3,2Y,1
TCGA-UB-A7MA,UB,23
TCGA-FV-A4ZQ,FV,12
TCGA-DD-A39V,DD,8
TCGA-CC-A8HT,CC,7
TCGA-DD-AA3A,DD,8
TCGA-BC-A10T,BC,4
TCGA-ED-A7XP,ED,9
TCGA-RC-A7SF,RC,22
TCGA-DD-A73G,DD,8
TCGA-2Y-A9GV,2Y,1
TCGA-DD-A114,DD,8
TCGA-DD-AAW1,DD,8
TCGA-QA-A7B7,QA,8
TCGA-CC-A7II,CC,7
TCGA-DD-AADI,DD,8
TCGA-ES-A2HS,ES,11
TCGA-DD-A39W,DD,8
TCGA-DD-AACW,DD,8
TCGA-DD-AACD,DD,8
TCGA-NI-A8LF,NI,21
TCGA-ZP-A9D1,ZP,27
TCGA-ED-A7PX,ED,9
TCGA-CC-A3MC,CC,7
TCGA-DD-AACH,DD,8
TCGA-DD-AAEI,DD,8
TCGA-DD-AACS,DD,8
TCGA-2Y-A9HA,2Y,1
TCGA-DD-AAD2,DD,8
TCGA-DD-A39Z,DD,8
TCGA-DD-AAEH,DD,8
TCGA-ED-A4XI,ED,9
TCGA-FV-A3I1,FV,12
TCGA-MI-A75E,MI,19
TCGA-WX-AA47,WX,25
TCGA-DD-AAE1,DD,8
TCGA-DD-AAE6,DD,8
TCGA-RC-A6M4,RC,22
TCGA-DD-AAE3,DD,8
TCGA-BC-A69H,BC,4
TCGA-CC-A8HS,CC,7
TCGA-2Y-A9H0,2Y,1
TCGA-DD-A118,DD,8
TCGA-GJ-A6C0,GJ,14
TCGA-MI-A75C,MI,19
TCGA-DD-AAE0,DD,8
TCGA-EP-A2KC,EP,10
TCGA-G3-AAV3,G3,13
TCGA-DD-AADA,DD,8
TCGA-DD-AAVW,DD,8
TCGA-G3-A3CK,G3,13
TCGA-DD-A4NE,DD,8
TCGA-2Y-A9GY,2Y,1
TCGA-DD-A39X,DD,8
TCGA-DD-A73A,DD,8
TCGA-G3-A25V,G3,13
TCGA-DD-AAEG,DD,8
TCGA-DD-AADU,DD,8
TCGA-2Y-A9GT,2Y,1
TCGA-G3-A25T,G3,13
TCGA-DD-A113,DD,8
TCGA-HP-A5MZ,HP,15
TCGA-5C-A9VH,5C,2
TCGA-DD-AACC,DD,8
TCGA-2Y-A9H5,2Y,1
TCGA-EP-A3RK,EP,10
TCGA-DD-AACU,DD,8
TCGA-DD-A1EL,DD,8
TCGA-5R-AA1D,5R,3
TCGA-CC-5264,CC,7
TCGA-RG-A7D4,RG,8
TCGA-RC-A7SB,RC,22
TCGA-DD-A3A8,DD,8
TCGA-UB-A7MB,UB,23
TCGA-FV-A2QQ,FV,12
TCGA-UB-A7MC,UB,23
TCGA-BC-A10Q,BC,4
TCGA-BC-A10U,BC,4
TCGA-ED-A8O5,ED,9
TCGA-G3-AAV7,G3,13
TCGA-BC-A10W,BC,4
TCGA-DD-AADM,DD,8
TCGA-T1-A6J8,T1,8
TCGA-DD-AADY,DD,8
TCGA-DD-AAD5,DD,8
TCGA-ED-A66X,ED,9
TCGA-DD-A73E,DD,8
TCGA-2Y-A9HB,2Y,1
TCGA-DD-AACV,DD,8
TCGA-DD-A4NL,DD,8
TCGA-K7-A5RG,K7,16
TCGA-DD-AAW0,DD,8
TCGA-WQ-AB4B,WQ,24
TCGA-DD-AADB,DD,8
TCGA-2V-A95S,2V,8
TCGA-2Y-A9H1,2Y,1
TCGA-DD-AAE4,DD,8
TCGA-DD-A4NN,DD,8
TCGA-CC-A9FS,CC,7
TCGA-CC-A7IL,CC,7
TCGA-DD-AAVZ,DD,8
TCGA-K7-A6G5,K7,16
TCGA-DD-A1EE,DD,8
TCGA-HP-A5N0,HP,15
TCGA-XR-A8TC,XR,26
TCGA-XR-A8TD,XR,26
TCGA-DD-AACX,DD,8
TCGA-FV-A23B,FV,12
TCGA-YA-A8S7,YA,8
TCGA-DD-AAED,DD,8
TCGA-G3-A7M8,G3,13
TCGA-2Y-A9GU,2Y,1
TCGA-K7-AAU7,K7,16
TCGA-BC-A10X,BC,4
TCGA-DD-AADG,DD,8
TCGA-DD-A115,DD,8
TCGA-DD-A3A7,DD,8
TCGA-EP-A26S,EP,10
TCGA-RC-A6M6,RC,22
TCGA-BC-A5W4,BC,4
TCGA-DD-A4NP,DD,8
TCGA-WX-AA44,WX,25
TCGA-DD-AACN,DD,8
TCGA-ZP-A9CZ,ZP,27
TCGA-DD-AADL,DD,8
TCGA-FV-A2QR,FV,12
TCGA-ES-A2HT,ES,11
